date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex.1,moon_illumination,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2009-01-01,22.0,9.0,0.0,8.7,4.0,3.0416666666666665,31.0,4.25,14.916666666666666,15.416666666666666,14.916666666666666,16.458333333333332,4.958333333333333,49.875,0.0,1016.2083333333334,12.833333333333334,10.0,312.6666666666667,10.5
2009-01-02,22.0,5.0,0.0,8.7,4.0,2.9583333333333335,38.0,7.75,16.583333333333332,16.666666666666668,16.583333333333332,6.25,2.4166666666666665,59.625,0.0,1016.75,11.875,10.0,275.3333333333333,3.4166666666666665
2009-01-03,22.0,6.0,0.0,8.7,4.0,3.0,45.0,6.208333333333333,16.125,16.333333333333332,16.125,9.5,10.041666666666666,54.666666666666664,0.0,1016.7083333333334,12.416666666666666,10.0,102.45833333333333,5.125
2009-01-04,20.0,8.0,0.0,8.7,4.0,3.1666666666666665,52.0,4.583333333333333,15.458333333333334,16.041666666666668,15.458333333333334,11.75,23.083333333333332,48.0,0.0,1015.0416666666666,14.458333333333334,10.0,81.04166666666667,6.375
2009-01-05,22.0,11.0,0.0,8.7,4.0,3.0833333333333335,60.0,8.458333333333334,16.208333333333332,16.833333333333332,16.208333333333332,11.0,11.375,61.375,0.0,1014.6666666666666,14.708333333333334,10.0,172.75,6.25
2009-01-06,22.0,8.0,0.0,8.7,4.0,3.0,67.0,9.125,16.208333333333332,16.75,16.208333333333332,10.291666666666666,3.4166666666666665,64.91666666666667,0.0,1015.5416666666666,13.166666666666666,10.0,159.91666666666666,5.916666666666667
2009-01-07,21.0,7.0,0.0,8.7,4.0,3.0,74.0,7.458333333333333,16.833333333333332,17.125,16.833333333333332,13.166666666666666,1.8333333333333333,55.916666666666664,0.0,1018.2916666666666,13.333333333333334,10.0,297.6666666666667,7.75
2009-01-08,22.0,5.0,0.0,8.7,4.0,2.875,82.0,6.958333333333333,16.541666666666668,16.583333333333332,16.541666666666668,9.25,0.0,56.583333333333336,0.0,1021.4166666666666,11.333333333333334,10.0,272.4583333333333,6.375
2009-01-09,20.0,3.0,0.0,8.7,4.0,2.875,89.0,3.5416666666666665,14.416666666666666,14.583333333333334,14.416666666666666,9.5,15.916666666666666,50.375,0.0,1021.2083333333334,12.0,10.0,189.54166666666666,5.083333333333333
2009-01-10,22.0,11.0,0.0,8.7,5.0,3.2083333333333335,96.0,7.291666666666667,16.791666666666668,17.375,16.791666666666668,13.666666666666666,7.166666666666667,53.541666666666664,0.0,1020.2083333333334,14.875,10.0,305.625,7.875
2009-01-11,21.0,7.0,0.0,8.7,4.0,3.0,100.0,6.333333333333333,15.375,15.916666666666666,15.375,13.208333333333334,14.791666666666666,56.958333333333336,0.0,1019.875,12.916666666666666,10.0,312.2083333333333,8.416666666666666
2009-01-12,21.0,7.0,0.0,8.7,4.0,2.875,89.0,5.75,14.0,14.625,14.0,11.583333333333334,5.5,60.291666666666664,0.0,1021.25,11.5,10.0,263.4583333333333,6.791666666666667
2009-01-13,21.0,4.0,0.0,8.7,4.0,3.0,82.0,5.833333333333333,14.791666666666666,15.25,14.791666666666666,12.166666666666666,21.083333333333332,56.791666666666664,0.0,1022.6666666666666,12.291666666666666,10.0,268.5416666666667,6.458333333333333
2009-01-14,23.0,7.0,0.0,8.7,4.0,3.0416666666666665,75.0,5.666666666666667,15.583333333333334,16.166666666666668,15.625,14.5,14.166666666666666,53.041666666666664,0.0,1021.7916666666666,13.25,10.0,315.7916666666667,8.458333333333334
2009-01-15,23.0,6.0,0.0,8.7,4.0,3.125,68.0,4.833333333333333,16.791666666666668,16.875,16.833333333333332,12.375,8.708333333333334,47.541666666666664,0.0,1020.3333333333334,14.041666666666666,10.0,321.7083333333333,7.291666666666667
2009-01-16,24.0,11.0,0.0,8.7,5.0,3.375,60.0,5.083333333333333,18.083333333333332,18.083333333333332,18.125,11.25,15.333333333333334,42.916666666666664,0.0,1019.2916666666666,16.666666666666668,10.0,209.08333333333334,6.125
2009-01-17,21.0,12.0,0.0,7.099999999999999,5.0,3.0416666666666665,53.0,9.666666666666666,16.958333333333332,17.166666666666668,16.958333333333332,13.625,37.625,64.75,0.0,1017.625,15.75,9.75,212.54166666666666,7.833333333333333
2009-01-18,23.0,12.0,0.0,7.099999999999999,5.0,3.1666666666666665,46.0,13.5,18.041666666666668,18.125,18.0,11.375,30.416666666666668,75.79166666666667,0.0,1016.6666666666666,16.958333333333332,10.0,167.08333333333334,6.333333333333333
2009-01-19,23.0,12.0,0.0,8.7,5.0,3.25,38.0,11.666666666666666,17.25,17.833333333333332,17.166666666666668,20.458333333333332,11.125,71.125,0.0,1017.2083333333334,15.958333333333334,9.0,307.875,12.208333333333334
